"food_id","title","description","price","image","category_id"
"food01","Cheeseburger","Juicy beef patty with melted cheddar cheese, lettuce, tomato, and onion on a sesame seed bun.","325.00",NULL,"cat01"
"food02","Veggie Burger","Grilled veggie patty with lettuce, tomato, and onion on a sesame seed bun.","300.00",NULL,"cat01"
"food03","Double Cheeseburger","Two juicy beef patties with melted cheddar cheese, lettuce, tomato, and onion on a sesame seed bun.","450.00",NULL,"cat01"
"food04","Bacon Cheeseburger","Juicy beef patty with crispy bacon, melted cheddar cheese, lettuce, tomato, and onion on a sesame seed bun.","375.00",NULL,"cat01"
"food05","Mushroom Swiss Burger","Juicy beef patty with sautéed mushrooms, melted Swiss cheese, lettuce, tomato, and onion on a sesame seed bun.","375.00",NULL,"cat01"
"food06","Grilled Chicken Sandwich","Grilled chicken breast with lettuce, tomato, and mayo on a toasted bun.","325.00",NULL,"cat02"
"food07","BLT Sandwich","Crispy bacon with lettuce, tomato, and mayo on toasted bread.","275.00",NULL,"cat02"
"food08","Fried Chicken Sandwich","Crispy fried chicken breast with lettuce, tomato, and mayo on a toasted bun.","325.00",NULL,"cat02"
"food09","Spicy Fried Chicken Sandwich","Crispy fried chicken breast with spicy mayo, lettuce, and tomato on a toasted bun.","350.00",NULL,"cat02"
"food10","Grilled Cheese Sandwich","Melted American cheese on grilled bread.","250.00",NULL,"cat02"
"food11","Fried Chicken","Crispy fried chicken with your choice of dipping sauce.","375.00",NULL,"cat03"
"food12","Chicken Tenders","Tender strips of breaded chicken with your choice of dipping sauce.","350.00",NULL,"cat03"
"food13","Chicken Wings","Crispy fried chicken wings with your choice of sauce.","400.00",NULL,"cat03"
"food14","Nashville Hot Chicken","Spicy fried chicken with coleslaw and pickles on a toasted bun.","425.00",NULL,"cat03"
"food15","Popcorn Chicken","Bite-sized pieces of crispy fried chicken.","300.00",NULL,"cat03"
"food16","Pepperoni Pizza","Classic pizza topped with tomato sauce, mozzarella cheese, and pepperoni slices.","450.00",NULL,"cat04"
"food17","Margherita Pizza","Pizza topped with tomato sauce, mozzarella cheese, and fresh basil.","400.00",NULL,"cat04"
"food18","Hawaiian Pizza","Pizza topped with tomato sauce, mozzarella cheese, ham, and pineapple.","475.00",NULL,"cat04"
"food19","BBQ Chicken Pizza","Pizza topped with barbecue sauce, mozzarella cheese, grilled chicken, and red onion.","500.00",NULL,"cat04"
"food20","Veggie Pizza","Pizza topped with tomato sauce, mozzarella cheese, and assorted vegetables.","450.00",NULL,"cat04"
"food21","Beef Tacos","Two tacos with seasoned ground beef, lettuce, tomato, and cheese on soft corn tortillas.","325.00",NULL,"cat05"
"food22","Chicken Burrito","Grilled chicken, rice, beans, lettuce, tomato, and cheese wrapped in a flour tortilla.","375.00",NULL,"cat05"
"food23","Fish Tacos","Two tacos with fried fish, lettuce, tomato, and tartar sauce on soft corn tortillas.","350.00",NULL,"cat05"
"food24","Veggie Burrito","Grilled vegetables, rice, beans, lettuce, tomato, and cheese wrapped in a flour tortilla.","350.00",NULL,"cat05"
"food25","Shrimp Tacos","Two tacos with sautéed shrimp, lettuce, tomato, and chipotle sauce on soft corn tortillas.","400.00",NULL,"cat05"
"food26","Beef Tacos","Two tacos with seasoned ground beef, lettuce, tomato, and cheese on soft corn tortillas.","325.00",NULL,"cat06"
"food27","Chicken Burrito","Grilled chicken, rice, beans, lettuce, tomato, and cheese wrapped in a flour tortilla.","375.00",NULL,"cat06"
"food28","Fish Tacos","Two tacos with fried fish, lettuce, tomato, and tartar sauce on soft corn tortillas.","350.00",NULL,"cat06"
"food29","Veggie Burrito","Grilled vegetables, rice, beans, lettuce, tomato, and cheese wrapped in a flour tortilla.","350.00",NULL,"cat06"
"food30","Shrimp Tacos","Two tacos with sautéed shrimp, lettuce, tomato, and chipotle sauce on soft corn tortillas.","400.00",NULL,"cat06"
"food31","French Fries","Crispy golden fries.","150.00",NULL,"cat07"
"food32","Onion Rings","Crispy breaded onion rings.","200.00",NULL,"cat07"
"food33","Mozzarella Sticks","Breaded and fried mozzarella sticks with marinara sauce.","250.00",NULL,"cat07"
"food34","Garlic Bread","Toasted bread with garlic butter.","175.00",NULL,"cat07"
"food35","Mac and Cheese","Classic mac and cheese with creamy cheese sauce.","300.00",NULL,"cat07"
"food36","Chocolate Cake","Rich chocolate cake with chocolate frosting.","275.00",NULL,"cat08"
"food37","Cheesecake","Creamy New York-style cheesecake with graham cracker crust.","300.00",NULL,"cat08"
"food38","Brownie Sundae","Warm chocolate brownie with vanilla ice cream and hot fudge sauce.","325.00",NULL,"cat08"
"food39","Fruit Tart","Pastry crust filled with vanilla custard and topped with fresh fruit.","350.00",NULL,"cat08"
"food40","Ice Cream","Two scoops of vanilla ice cream.","200.00",NULL,"cat08"
"food41","Coke","12 oz can of Coca-Cola.","75.00",NULL,"cat09"
"food42","Sprite","12 oz can of Sprite.","75.00",NULL,"cat09"
"food43","Iced Tea","16 oz cup of fresh-brewed iced tea.","100.00",NULL,"cat09"
"food44","Lemonade","16 oz cup of freshly squeezed lemonade.","125.00",NULL,"cat09"
"food45","Bottled Water","16.9 oz bottle of purified water.","50.00",NULL,"cat09"
